acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.984,"{'Giacomo Puccini', 'Renata Scotto', Orchestra Del Teatro Dell'Opera Di Roma"""," 'Sir John Barbirolli'}""",0.155,276040,0.187,0,1ZYWWz6ADzrCazzGFWbOOf,0.0033200000000000005,6,0.0888,-13.774,1,"Madama Butterfly, Act II: Un bel dì vedremo (Butterfly)",29-01-01,1966,0.046,59.90600000000001,0.0663,1966
0.872,{'Jefferson Airplane'},0.29,240640,0.28800000000000003,0,2XClue0OiR8tBFuObNCvZ0,0.207,2,0.122,-16.372,1,Rejoyce,28,1967-01-01,0.0312,96.397,0.117,1967
0.41,{'Jeff Beck'},0.446,450000,0.68,0,5HB3pcue65MRxXbIDSXpTA,0.443,5,0.755,-9.766,1,Blues Deluxe,21,1968-08-01,0.0498,135.289,0.428,1968
0.765,"{'Louis Hardin', 'Moondog'}",0.4370000000000001,136560,0.499,0,3rG2OYVaUNbWMKmONwXf4H,0.848,2,0.13,-13.2,1,Stamping Ground - Instrumental,31,1969-01-01,0.0335,94.084,0.643,1969
0.0023,{'The Beach Boys'},0.439,160933,0.421,0,1vGqPTdYS0G7Bs1Ltru7Na,0.0,9,0.188,-9.813,1,Our Sweet Love - Remastered 2009,28,1970-08-31,0.0302,113.464,0.0945,1970
0.742,{'Ry Cooder'},0.578,255560,0.0563,0,7LTf7FTOixNwfYK8gmig6j,0.000105,0,0.109,-21.523000000000003,0,Vigilante Man,35,1971-01-01,0.0421,75.845,0.32299999999999995,1971
0.509,{'The Rolling Stones'},0.522,274773,0.8909999999999999,0,30t7Yif8FyeCANkW2Beii3,0.908,9,0.111,-4.085,1,Stop Breaking Down,30,1972-05-12,0.0322,104.411,0.91,1972
0.487,{'Camilo Sesto'},0.403,199933,0.846,0,5UH9Nzv4AxSEmzcCOxpOzn,2.8000000000000013e-05,7,0.0746,-4.8039999999999985,1,Algo Más,39,1973-01-02,0.0503,77.751,0.755,1973
0.768,{'David Cassidy'},0.309,187360,0.415,0,3cmb7mFWij3I2hKfGSRE3z,0.0,2,0.345,-11.441,0,How Can I Be Sure,39,1974-01-01,0.0342,170.85,0.238,1974
0.396,{'Led Zeppelin'},0.473,521107,0.588,0,01pTpvBghy8H9l7IGWOq5r,0.000169,2,0.157,-10.407,1,Driving Through Kashmir - Kashmir Rough Orchestra Mix,30,1975-02-24,0.0455,81.317,0.629,1975
0.000397,{'Eagles'},0.45,315267,0.963,0,2B5UR4Q9UyiepxgEx8vOW5,0.00504,0,0.972,-7.4689999999999985,1,"Already Gone - Live at The Forum, Los Angeles, CA, 10/20-22/1976",31,1976-12-08,0.0596,143.13,0.77,1976
0.124,{'The Congos'},0.5760000000000001,234893,0.45,0,7LVssm8ZpyZhS87Bycccq0,1.15e-06,8,0.104,-15.42,1,Children Crying,32,1977-01-01,0.0357,140.192,0.938,1977
0.00591,{'The Stranglers'},0.555,194080,0.639,0,2CeBK22RiNWepnaCs0yHPb,0.00398,11,0.0743,-8.437999999999999,0,Nice N' Sleazy,42,1978-05-26,0.0367,103.522,0.964,1978
0.0802,{'XTC'},0.8490000000000001,196766,0.728,0,7EREJweyXYJsVO7mGpYV9J,1.16e-05,0,0.0739,-8.215,1,Ten Feet Tall - 2001 Digital Remaster,32,1979-08-17,0.0459,129.151,0.8140000000000001,1979
0.0679,"{'The Blues Brothers', 'Joe Gastwirt'}",0.6579999999999999,174493,0.94,0,7bZGwyS6YQ5vE9DpdE1AYo,0.004070000000000001,2,0.982,-6.659,1,Do You Love Me: Mother Popcorn (You Got to Have a Mother for Me),39,1980-12-01,0.16899999999999998,144.662,0.532,1980
0.319,{'Triumph'},0.217,437173,0.5870000000000001,0,4ykPpdAtvxJtKjHAwNAfUh,0.0,4,0.209,-11.715,0,Ordinary Man,28,1981-09-19,0.0533,161.535,0.439,1981
0.157,{'Asia'},0.235,304027,0.621,0,2D7P8h3GiFNxkY2Bdoof8z,0.000188,2,0.1,-9.493,0,Without You,32,1982-01-01,0.0377,80.234,0.362,1982
0.541,{'Rubén Blades'},0.754,378067,0.28600000000000003,0,23BsyEYOTgdwvSbS1ZHsN2,6.2e-05,0,0.181,-14.422,0,Lo Pasado No Perdona,37,1983-01-01,0.0519,95.889,0.7340000000000001,1983
0.7340000000000001,{'Alan Tam'},0.272,238600,0.299,0,7uxeXbZeY6idWFhiD9iiLI,0.0,5,0.165,-12.386,1,愛在深秋,37,1984-01-01,0.0311,72.524,0.287,1984
0.108,{'George Strait'},0.593,181507,0.363,0,77VQ1sC8uVA8fTZPeU1hVK,0.0,3,0.113,-14.831,1,A Fire I Can't Put Out,27,1985-01-01,0.0328,108.821,0.645,1985
0.614,{'Nancy Martinez'},0.8079999999999999,250293,0.7509999999999999,0,6Ib6spYstXrIWT8R0jAHoF,0.0158,11,0.0614,-12.246,0,For Tonight,31,1986-01-01,0.059,115.754,0.911,1986
2.730000000000001e-05,{'Running Wild'},0.24,282560,0.958,0,25qe3Wf24HVQBBiQeb9Cdf,0.0354,11,0.769,-10.151,0,Under Jolly Roger,46,1987-01-01,0.1,161.887,0.0718,1987
0.199,{'The Beatles'},0.5489999999999999,140600,0.725,0,7iTjGs5z7opNGCXyurs0Q7,0.0,0,0.17800000000000002,-8.512,1,Bad Boy - Remastered 2009,37,1988-03-07,0.0431,134.64,0.878,1988
0.00722,{'The Canton Spirituals'},0.508,182360,0.667,0,3dKbBseZWH8vjq2H0kUL5l,1.5e-06,9,0.7290000000000001,-9.918,1,I'm Coming Lord,29,1989-04-14,0.0448,97.444,0.48,1989
0.00692,{'Black Box'},0.713,312987,0.664,0,6aKxDL6KiKCHYsQyDq7Vgd,0.00184,7,0.163,-9.095,0,Fantasy,50,1990-04-09,0.046,98.102,0.49,1990
0.00016299999999999998,{'STEELHEART'},0.596,381533,0.764,0,1SshF5OGKLcYxSJVJdkVbp,0.774,1,0.0694,-10.296,1,Everybody Loves Eileen,33,1991-01-01,0.0374,135.414,0.599,1991
0.459,"{'Newsies Ensemble', 'Newsies Additional Singing Cast'}",0.5429999999999999,144000,0.474,0,1by8KkLC21uRKPipwj3vjd,0.0,11,0.11,-15.335,0,Once and for All,34,1992-01-01,0.0745,180.183,0.478,1992
0.195,{'Cake'},0.629,180293,0.8240000000000001,0,0NQnCpLQYQc4o7SLhgSkBB,0.000185,7,0.35200000000000004,-7.545,1,Ruby Sees All,38,1994-01-01,0.042,99.89,0.65,1994
0.000186,{'Green Day'},0.494,128200,0.932,1,2uARrCX71Zl7JspUN2KuPZ,4.04e-05,8,0.0248,-4.606,0,Bab's Uvula Who?,42,1995-10-10,0.0542,96.215,0.972,1995
0.000492,{'Bloodhound Gang'},0.5529999999999999,184800,0.841,1,7L3KZewp6PJjUpRLlWtrQR,0.381,4,0.0999,-8.74,0,Kiss Me Where It Smells Funny,45,1996-01-01,0.0418,161.024,0.926,1996
0.0261,{'Our Lady Peace'},0.376,254955,0.64,0,3KivuyfbGxxXQwH5hJmlmA,0.0,3,0.193,-7.949,1,4am,38,1997-04-15,0.0441,121.821,0.29600000000000004,1997
0.0772,{'Twista & The Speedknot Mobstaz'},0.71,318160,0.649,1,7jOKMuUvb3smmZnyqYKKVa,0.0,11,0.619,-7.162000000000001,0,Legit Ballers,38,1998-09-25,0.166,130.113,0.48,1998
0.231,{'Backstreet Boys'},0.649,261533,0.429,0,0rVPrbLlFgLtJWd31gM5Cw,0.0,2,0.16399999999999998,-7.43,1,Back to Your Heart,48,1999-05-18,0.0239,92.011,0.243,1999
0.00747,{'At The Drive In'},0.35200000000000004,174773,0.985,0,2IHmR8p2poiSaS3cgBKmOt,0.00102,2,0.3670000000000001,-2.555,1,Arcarsenal,40,2000-01-01,0.22,129.97299999999998,0.241,2000
0.327,{'Grupo Bryndis'},0.4270000000000001,231373,0.569,0,3rt5Q6kxIveKmxLL1hIBHh,0.0162,2,0.11,-10.088,0,Un Brindis Por Ti,45,2001-01-01,0.0285,186.608,0.774,2001
0.0203,{'Toploader'},0.74,232440,0.8490000000000001,0,14uiLlBzEQOqXxJRa7S4cL,4.02e-06,10,0.34600000000000003,-3.205,1,Dancing in the Moonlight - 2001 Remix,50,2002-01-15,0.026,118.977,0.949,2002
0.0495,"{'Lumidee', 'Busta Rhymes', 'Fabolous'}",0.573,212277,0.662,0,7h4T9TmS2uxOHYGOrc6wSM,0.000136,0,0.0724,-7.148,1,"Never Leave You (Uh Oooh, Uh Oooh) - Uh Oooh Remix",50,2003-01-01,0.337,199.208,0.805,2003
0.103,{'Daddy Yankee'},0.809,202933,0.691,0,3S2wsVP6VihPaMdxrRELmA,0.0,5,0.284,-6.573,0,Like You,50,2004-07-13,0.079,95.008,0.758,2004
0.0005200000000000001,{'Editors'},0.173,226427,0.872,0,1TF8mSG5YHyaS4o3NeBSAo,0.0353,7,0.324,-4.39,0,Munich,60,2005-01-01,0.0533,149.361,0.39,2005
0.618,{'Marc Anthony'},0.488,237800,0.488,0,2mzG4KN7dEGPMlkwj2x7SL,0.0,4,0.632,-8.87,0,Hasta Ayer,48,2006-01-01,0.0387,99.782,0.454,2006
0.183,{'Tegan and Sara'},0.568,209267,0.8540000000000001,0,4CD4GfHOwo5ZP4FkIMTK6j,0.0,8,0.3,-6.214,1,The Con,48,2007-07-24,0.0316,130.16,0.7040000000000001,2007
0.825,{'Los Panchos'},0.8440000000000001,180627,0.561,0,1HlX3tDP7eJBs5CJx4XIIk,0.000919,6,0.103,-7.677,0,Bésame Mucho,44,2008-01-26,0.0378,121.755,0.936,2008
0.369,{'Florence + The Machine'},0.597,185253,0.516,0,3euILOYDltKArnqpupsE1W,0.0,7,0.261,-5.437,1,I'm Not Calling You A Liar,46,2009-01-01,0.0546,117.959,0.35,2009
0.121,{'Ellie Goulding'},0.508,176613,0.831,0,1vWGa8yC21ZELs9dAhiC2Q,5.56e-06,5,0.35200000000000004,-5.273,0,Starry Eyed,48,2010-01-01,0.0333,149.915,0.65,2010
0.0234,{'Trace Adkins'},0.557,228427,0.403,0,21FyeXi7sykXk9HRlf3Aul,0.0124,11,0.0914,-8.947000000000003,1,Semper Fi,47,2011-01-01,0.0309,129.637,0.202,2011
0.166,{'Colt Ford'},0.5429999999999999,242666,0.7440000000000001,0,2JDWDQCzd0K9mI5GEaToA8,0.0,7,0.146,-5.907,1,Back (with Jake Owen),49,2012-08-07,0.0306,136.894,0.595,2012
0.705,{'Los Primos MX'},0.667,165147,0.441,0,0DKoET2reNpTGpQMS0VXI0,0.0,7,0.125,-9.944,1,Mi Bello Ángel,61,2013-01-01,0.03,139.942,0.406,2013
0.466,{'Jon Bellion'},0.568,203631,0.846,0,6luhvKibJJNM4P64RLNwgg,0.000406,10,0.0901,-5.227,1,Carry Your Throne,53,2014-09-23,0.068,80.01899999999998,0.398,2014
0.16699999999999998,{'Tyga'},0.902,186672,0.67,1,6ZA3Q8Dj5BrnmOsT300DCh,0.0,10,0.107,-4.074,1,Ice Cream Man,62,2015-08-24,0.19,144.07,0.39,2015
0.048,"{'ScHoolboy Q', 'E-40'}",0.7859999999999999,222147,0.569,1,7pda6TLAbVGxUjIUtbiNt0,0.0,1,0.119,-5.461,1,Dope Dealer,58,2016-07-08,0.125,82.027,0.28800000000000003,2016
0.726,"{'Austyn Johnson', 'Cameron Seely', 'Hugh Jackman'}",0.253,60453,0.139,0,66y7x28jXOPrcmu3D5Zjh6,5.01e-05,6,0.269,-17.067,1,A Million Dreams (Reprise),66,2017-12-08,0.0414,74.369,0.102,2017
0.0038,{'Wallows'},0.593,235272,0.6579999999999999,0,3VzULnaqPKf1deQyZ5W4Ah,0.0126,2,0.0804,-4.957,1,1980s Horror Film II,65,2018-10-11,0.0304,116.021,0.27,2018
0.185,{'iann dior'},0.7040000000000001,118667,0.5720000000000001,1,4VE02IlNVRSXPk3p9B4Nxz,0.0,3,0.124,-7.107,0,crash my whip,66,2019-05-22,0.038,90.01299999999998,0.17,2019
0.0883,"{'Delacey', 'G-Eazy'}",0.677,192571,0.878,1,7E91ECLi2J4L21tEX0RBHn,0.0,11,0.154,-3.497,0,Cruel Intentions,68,2020-02-28,0.213,90.04799999999999,0.227,2020
0.992,{'Francisco Canaro'},0.877,170507,0.153,0,7LU6wFyEHMM9fMCHPMfVIS,0.00813,11,0.108,-11.512,1,Cocot de Lujo - Instrumental (Remasterizado),0,1928-09-16,0.0556,113.471,0.852,1928
0.992,{'Ntina Stauropoulou'},0.468,176547,0.476,0,4bCdhT567FWpe8WHUJZyxj,0.000192,7,0.21,-8.836,1,Ta nisia tou paradeisou,0,1930-01-01,0.035,99.997,0.731,1930
0.772,"{'Sinclair Lewis', 'Frank Arnold'}",0.625,219286,0.21600000000000005,0,5Y9SjlnRc7qWJVzVsXTwYR,2.54e-06,7,0.344,-20.754,1,"Das ist bei uns nicht möglich, Kapitel 150",0,1935-01-01,0.961,82.485,0.4270000000000001,1935
0.648,{'Эрнест Хемингуэй'},0.68,107500,0.102,1,2lu8x3a9fRYnbjb5qE7UgF,0.0,11,0.33,-22.281,0,Часть 11.4 - По ком звонит колокол,0,1940-01-01,0.956,142.751,0.43,1940
0.992,"{'Parul Ghosh', 'H Khan Mastana'}",0.622,182773,0.12,0,5XjxV67r0A11lqEBP57Nhj,0.901,6,0.107,-23.032,1,Kanta Lago Re Sajanwa Mose,0,1942-01-01,0.056,105.21,0.784,1942
0.958,"{'Franz Schubert', 'Yehudi Menuhin'}",0.376,439507,0.187,0,3Bn5kqOOAIOBSrSk5qysTY,0.03,9,0.08900000000000001,-14.63,1,"Violin Sonata in A Major, D. 574, Op. 162: I. Allegro moderato",0,1945-01-01,0.0569,140.614,0.491,1945
0.996,"{'Frédéric Chopin', 'Maryla Jonas'}",0.479,310027,0.0152,0,5ZCJs0I9tGlaDtPth4Gr3G,0.923,2,0.121,-24.096,0,"Nocturne in G Minor, Op. 15 No. 3",0,1946-01-01,0.0537,98.725,0.198,1946
0.984,"{'Franz Schubert', 'Isaac Stern'}",0.127,792533,0.0558,0,5ge5CjaeVPd4grpjRaAEFr,0.7090000000000001,11,0.35700000000000004,-23.199,1,"String Quintet in C Major, D. 956: II. Adagio",0,1947-01-01,0.0474,90.501,0.039,1947
0.993,{'Münir Nurettin Selçuk'},0.257,200733,0.464,0,4ZVFyWHS5kiQOMmHZ2RhNR,0.217,0,0.155,-8.89,1,Çepçevre Bahar İçinde,7,1948-12-06,0.0663,82.194,0.28,1948
0.995,{'Premlata Naik'},0.662,185580,0.14400000000000002,0,27VZary66POzhGPOEx6ZuF,0.000261,10,0.16699999999999998,-8.879,0,Daya Khanar Dukhiyani,0,1949-11-12,0.0539,103.849,0.6890000000000001,1949
0.995,"{'Mubarak Begum', 'Sulochana Kadam'}",0.505,220710,0.0785,0,15astVTsfxePM5eKl2K6rD,0.8059999999999999,0,0.114,-13.807,1,Sham Hui Aur Deep Jale,0,1950-12-31,0.076,72.185,0.528,1950
0.984,"{'Georges Bizet', 'Fritz Reiner'}",0.55,39840,0.256,0,1bT5BmOrLruX7W3GAmpTIO,0.0,9,0.4920000000000001,-12.220999999999998,1,Carmen: Act III: Eh bien? - Eh bien,0,1951-01-01,0.194,115.544,0.483,1951
0.967,"{'Alban Berg', 'Dimitri Mitropoulos', 'New York Philharmonic'}",0.452,476733,0.202,0,1PwFTu6n135BW2C29lhl0Q,3.17e-05,7,0.101,-19.129,1,"Wozzeck, Op. 7: Act II, Scene II: Invention and Fugue on 3 Themes Wohin so eilig"," geehrtester Herr Sargnagel?""""",0-01-01,1952,0.152,106.387,0.26,1952
0.913,{'Unspecified'},0.491,375880,0.989,0,1DB9hcGgaIf3OHawvkstkW,0.826,8,0.0472,-6.517,1,Bata Drums,0,1953-01-01,0.0515,127.404,0.96,1953
0.941,"{'Franz Joseph Haydn', 'Fritz Reiner'}",0.17600000000000002,374413,0.0584,0,04GWIVIjkinCpTbK8tsGmb,0.77,3,0.0997,-23.064,1,"Symphony No. 95 in C Minor, Hob. I: 95: II. Andante",0,1954-01-01,0.0445,79.068,0.14,1954
0.992,"{'Frédéric Chopin', 'Samson François'}",0.458,303240,0.138,0,0ycjDiexIJFW35vhsmphXm,0.915,3,0.103,-19.34,1,"Chopin: Grande valse brillante in E-Flat Major, Op. 18",9,1955-01-01,0.0438,128.766,0.36,1955
0.79,{'Slim Rhodes'},0.574,140023,0.426,0,0KfPRniygoygkwOFdZx8Z9,0.0,10,0.155,-10.952,1,Take and Give,9,1956-01-01,0.0435,100.991,0.494,1956
0.934,{'Chet Baker'},0.379,174040,0.0801,0,4cAZSwLu81TpobAB0M9kz4,0.0,5,0.187,-17.28,1,When Your Lover Has Gone,16,1957-08-01,0.0407,114.691,0.129,1957
0.715,{'Tito Puente & His Orchestra'},0.588,163436,0.726,0,6MVyYlj3vMWovDATNVKZP2,0.343,2,0.107,-6.242000000000001,0,Flamenco Mood,13,1958-12-31,0.0505,107.669,0.735,1958
0.708,{'Bo Diddley'},0.747,185413,0.275,0,1bmdJLasHXxN5v5EuAYm0q,0.0,9,0.0779,-17.093,1,Oh Yea,15,1959-07-01,0.0716,110.449,0.8959999999999999,1959
0.933,{'Kitty Kallen'},0.322,214000,0.147,0,2TMcLVbvHGAjhAhE1am2hr,6.64e-06,3,0.171,-16.249000000000002,1,Always in My Heart,12,1960-01-01,0.0322,107.969,0.199,1960
0.735,{'Alvin & The Chipmunks'},0.851,132400,0.486,0,6bopTr1MVZmpStZjzkbNkE,6.74e-06,0,0.313,-6.466,1,If You Love Me (Alouette),11,1961-01-01,0.118,113.32,0.633,1961
0.928,{'Bill Evans Trio'},0.484,257133,0.136,0,29UUG0DJA765U77TFJKvuc,0.865,5,0.203,-20.255,1,Polka Dots And Moonbeams - Take 3,17,1962-01-01,0.0381,63.971,0.122,1962
0.893,{'霜華雪華'},0.365,159413,0.162,0,1hoeNOLUxLsiCAIwAHUAxO,0.00484,5,0.0657,-21.142,0,山南有棵樹,22,1963-01-02,0.0409,138.614,0.406,1963
0.904,{'The New Christy Minstrels'},0.7170000000000001,153173,0.378,0,1mFHi6mwIPAa82RSduebmj,1.12e-06,5,0.105,-12.557,1,Appleseed John,17,1964-11-05,0.0445,147.494,0.887,1964
0.464,{'John Coltrane'},0.324,440933,0.475,0,12drI98LeZfgwwpdVws9Zi,0.0,8,0.105,-12.605,1,"A Love Supreme, Pt. II - Resolution",16,1965-02-01,0.051,177.588,0.436,1965
0.7829999999999999,{'Charley Pride'},0.483,149013,0.379,0,2mJypMqglQ7NANh7W2TXh6,0.0,2,0.212,-11.705,1,Before I Met You,27,1966-10-01,0.0251,90.571,0.8270000000000001,1966
0.114,{'Vanilla Fudge'},0.29,316133,0.516,0,3PmuVZTxoAU1aQwp5eB9zD,0.00486,9,0.197,-7.184,0,Bang Bang,26,1967-01-01,0.0332,98.615,0.211,1967
0.339,{'Ramsey Lewis'},0.44,273440,0.562,0,7AeRnc8BdrCoFSXmqJSv6F,0.486,10,0.0668,-12.414,1,Black Bird,24,1968-12-31,0.0275,128.903,0.371,1968
0.00322,{'Led Zeppelin'},0.26,715880,0.615,0,1Z1PlpV2k3JHs7aoy0X5bf,0.087,11,0.84,-11.269,0,"You Shook Me - Live in Paris, 1969",26,1969-01-12,0.066,134.116,0.363,1969
0.893,{'Bob Dylan'},0.482,166587,0.294,0,1LLWePORuf78aYlTpSsduc,0.0,0,0.39,-9.664,1,The Boxer,29,1970-06-08,0.0339,107.112,0.5429999999999999,1970
0.316,{'The Band'},0.7190000000000001,310800,0.725,0,6pK1qZ0N8FJeEhmij0HDYP,0.000178,2,0.0772,-8.872,1,Smoke Signal - Remastered,27,1971-01-01,0.0442,114.588,0.91,1971
0.5539999999999999,{'Fania All Stars'},0.73,444960,0.628,0,2jeQ960qCjTtyPXc3wdWcZ,0.0999,7,0.768,-10.029,0,"Estrellas de Fania - Live At The Cheetah Club / New York, NY / August 26, 1971",31,1972-01-01,0.0348,134.785,0.967,1972
0.828,{'John Lennon'},0.423,190453,0.385,0,5FePQYEKacbmhPEMB2baOJ,1.51e-05,8,0.218,-11.107,1,One Day (At A Time) - Remastered 2010,35,1973-10-29,0.0316,90.142,0.274,1973
0.737,{'Mickey Gilley'},0.564,144707,0.8320000000000001,0,3yharwu3QyCIG2Bo1v1RgO,0.007640000000000002,5,0.245,-11.206,1,The Power Of Positive Drinkin',24,1974-01-01,0.0532,181.071,0.897,1974
0.675,{'Original Broadway Cast'},0.579,313133,0.563,0,3LisyzjjwJM3exOcrIEdcZ,0.0,7,0.226,-9.403,1,Cell Block Tango,29,1975-01-01,0.482,135.832,0.6409999999999999,1975
